long,lat,,,
-98.683,27.065,,,
-98.102,26.938,,,
-98.068,26.463,,,
-117.11,32.889,,,
-107.79,32.532,,,
-98.916,32.608,,,
-98.079,32.573,,,
-97.41,32.557,,,
-96.53,32.475,,,
-95.756,32.597,,,
-95.089,32.66,,,
-94.393,32.679,,,
-93.574,32.641,,,
-92.905,32.605,,,
-91.946,32.549,,,
-91.404,32.703,,,
-112.81,31.956,,,
-98.9,32.018,,,
-98.137,32.004,,,
-96.531,32,,,
-95.808,32.002,,,
-95.12,32.003,,,
-94.471,32.018,,,
-93.763,32.039,,,
-92.919,32.023,,,
-92.152,32.062,,,
-91.483,31.88,,,
-98.984,31.325,,,
-98.238,31.332,,,
-97.427,31.282,,,
-96.844,31.387,,,
-95.885,31.316,,,
-95.311,31.357,,,
-94.556,31.333,,,
-93.89,31.417,,,
-93.168,31.333,,,
-92.325,31.375,,,
-91.617,31.284,,,
-99.091,30.754,,,
-98.269,30.814,,,
-97.585,30.783,,,
-96.796,30.77,,,
-96.139,30.829,,,
-95.474,30.75,,,
-94.766,30.794,,,
-93.959,30.746,,,
-93.19,30.75,,,
-92.431,30.712,,,
-91.781,30.764,,,
-90.746,30.715,,,
-90.338,30.73,,,
-99.035,30.072,,,
-98.475,30.028,,,
-97.571,30.029,,,
-97.065,30.076,,,
-96.316,30.08,,,
-95.49,30.222,,,
-94.724,30.108,,,
-93.98,30.209,,,
-93.188,30.06,,,
-92.551,30.125,,,
-91.856,30.086,,,
-91.161,30.11,,,
-90.489,30.044,,,
-99.177,29.459,,,
-98.352,29.381,,,
-97.774,29.388,,,
-97.057,29.481,,,
-96.332,29.439,,,
-95.448,29.419,,,
-99.294,28.719,,,
-98.558,28.847,,,
-97.808,28.855,,,
-97.067,28.955,,,
-96.44,28.764,,,
-95.648,28.84,,,
-99.974,28.284,,,
-99.394,28.324,,,
-98.552,28.125,,,
-97.83,28.287,,,
-99.275,27.613,,,
-98.519,27.602,,,
-97.309,27.421,,,
-122.71,48.72,,,
-103.11,48.939,,,
-102.04,48.897,,,
-101.24,48.953,,,
-100.27,48.91,,,
-99.232,48.923,,,
-98.301,48.94,,,
-97.189,48.932,,,
-96.493,48.917,,,
-95.39,48.937,,,
-99.643,32.624,,,
-122.1,48.264,,,
-103.16,48.272,,,
-102.23,48.376,,,
-101.26,48.404,,,
-100.36,48.449,,,
-99.353,48.465,,,
-98.329,48.45,,,
-97.65,48.424,,,
-96.536,48.395,,,
-95.588,48.272,,,
-94.65,48.486,,,
-93.726,48.36,,,
-98.15,41.408,,,
-120.89,47.923,,,
-103.26,47.712,,,
-102.1,47.826,,,
-101.5,47.714,,,
-100.39,47.716,,,
-98.478,47.703,,,
-97.734,47.793,,,
-96.528,47.825,,,
-95.772,47.759,,,
-94.911,47.65,,,
-93.976,47.701,,,
-92.838,47.758,,,
-92.185,47.728,,,
-91.273,47.717,,,
-90.129,47.817,,,
-123.09,47.535,,,
-122.77,47.179,,,
-103.32,47.151,,,
-102.44,47.03,,,
-101.53,47.108,,,
-100.57,47.193,,,
-99.596,47.06,,,
-98.758,47.108,,,
-97.723,47.048,,,
-97.016,47.135,,,
-95.845,47.14,,,
-95.195,47.085,,,
-94.053,47.081,,,
-93.165,47.176,,,
-92.426,47.158,,,
-122.57,46.557,,,
-103.4,46.501,,,
-102.46,46.471,,,
-101.56,46.429,,,
-100.69,46.575,,,
-99.642,46.568,,,
-98.91,46.502,,,
-97.888,46.558,,,
-97.07,46.593,,,
-96.005,46.504,,,
-95.169,46.514,,,
-94.404,46.557,,,
-93.256,46.518,,,
-92.4,46.566,,,
-123.01,46.083,,,
-121.46,45.885,,,
-103.46,45.926,,,
-102.67,45.851,,,
-102.02,45.873,,,
-100.8,45.849,,,
-99.827,45.834,,,
-99.025,45.836,,,
-98.252,45.86,,,
-97.126,45.87,,,
-96.293,45.84,,,
-95.258,45.795,,,
-94.573,45.858,,,
-93.524,45.862,,,
-123.26,45.212,,,
-121.32,45.242,,,
-103.42,45.194,,,
-102.6,45.294,,,
-101.93,45.379,,,
-100.92,45.075,,,
-99.923,45.193,,,
-99.145,45.129,,,
-98.208,45.225,,,
-97.499,45.255,,,
-96.438,45.195,,,
-95.638,45.242,,,
-94.486,45.22,,,
-93.751,45.234,,,
-122.74,44.523,,,
-110.58,44.395,,,
-103.6,44.621,,,
-102.77,44.617,,,
-102.08,44.633,,,
-101.02,44.675,,,
-100.21,44.626,,,
-98.477,44.48,,,
-97.436,44.504,,,
-96.743,44.681,,,
-95.777,44.667,,,
-94.831,44.699,,,
-93.928,44.578,,,
-92.918,44.581,,,
-123.85,44.106,,,
-123.35,43.697,,,
-122.41,43.794,,,
-121.34,44.339,,,
-103.73,44.02,,,
-102.86,44.031,,,
-102.05,44.069,,,
-101.17,44,,,
-100.3,44.022,,,
-99.426,43.914,,,
-98.535,44.03,,,
-97.464,44.027,,,
-96.799,44.047,,,
-95.86,44.039,,,
-94.983,43.856,,,
-94.014,44.019,,,
-93.4,44.015,,,
-92.331,44.041,,,
-123.93,43.161,,,
-122.11,43.24,,,
-121.23,43.285,,,
-103.8,43.39,,,
-103.08,43.313,,,
-102.01,43.253,,,
-101.24,43.424,,,
-100.33,43.406,,,
-99.492,43.325,,,
-98.74,43.291,,,
-97.848,43.372,,,
-96.967,43.319,,,
-95.958,43.284,,,
-95.208,43.365,,,
-94.34,43.329,,,
-93.553,43.31,,,
-92.475,43.319,,,
-123.67,42.696,,,
-121.75,42.625,,,
-106.52,42.651,,,
-101.37,42.714,,,
-100.32,42.761,,,
-99.613,42.674,,,
-98.755,42.623,,,
-97.972,42.66,,,
-97.001,42.605,,,
